month,bab_return,ret_L_excess,ret_H_excess,ret_L_raw,ret_H_raw,beta_L,beta_H,n_low,n_high,n_total,rf,median_beta
2008-07,-0.04020299597846895,-0.004565034164925533,0.039707467278480964,-0.0024140648508977343,0.04190552944949542,0.5982908664038987,1.219034927657665,1542,1542,3084,0.0015,0.899988
2008-08,0.005216842774922417,0.020657701427151724,0.03620628452114368,0.022706224886615684,0.038305727658235256,0.5967216524150857,1.2314303416222745,1549,1550,3099,0.0013,0.903558
2008-09,-0.05612972188904414,-0.07768053471676979,-0.09012936384398947,-0.0756448948455489,-0.08802975328343142,0.5778803223082986,1.151173009148683,1544,1545,3089,0.0015,0.85283
2008-10,0.00815164763243445,-0.12843323853946811,-0.24357892510043155,-0.12843323853946811,-0.24357892510043155,0.6132984741142681,1.1195655913096254,1419,1419,2838,0.0008,0.8574215000000001
2008-11,-0.0013917042067806695,-0.07790438778447369,-0.14454931554188086,-0.07790438778447369,-0.14454931554188086,0.6144809048155836,1.152806002239268,1331,1331,2662,0.0003,0.8658465
2008-12,-0.12746490984121817,0.07003756411895823,0.28143966117831226,0.07003756411895823,0.28143966117831226,0.6116371327108938,1.1631022839995555,1311,1311,2622,0.0,0.86852
2009-01,0.09555882343707317,-0.02920463265021165,-0.16837533088383091,-0.02920463265021165,-0.16837533088383091,0.6205035140461509,1.1805469742169896,1310,1311,2621,0.0,0.872574
2009-02,0.018814622168690398,-0.0696334569382407,-0.15598503032778455,-0.0696334569382407,-0.15598503032778455,0.6152534823556379,1.1817664864357533,1270,1271,2541,0.0001,0.870681
2009-03,-0.054743116792304786,0.07988659701995367,0.2210634965669457,0.07988659701995367,0.2210634965669457,0.622133189046986,1.2070035204554057,1218,1219,2437,0.0002,0.876874
2009-04,-0.09439340754064338,0.07747983395579772,0.2704035389505356,0.07747983395579772,0.2704035389505356,0.6226137305308485,1.2356431623192068,1289,1290,2579,0.0001,0.893477
2009-05,0.051355474382723615,0.06957415209733747,0.07546283712829951,0.06957415209733747,0.07546283712829951,0.6228884430234016,1.2506160195004046,1357,1357,2714,0.0,0.8966035
2009-06,0.07270277647019642,0.018614411939340617,-0.05349341572213136,0.018614411939340617,-0.05349341572213136,0.6202132491403137,1.2530709351550127,1390,1390,2780,0.0001,0.897195
2009-07,-0.02004173069787149,0.04494516357993364,0.11521694783222386,0.04494516357993364,0.11521694783222386,0.6218974147127565,1.248115138734584,1384,1385,2769,0.0001,0.898396
2009-08,-0.01407948804400621,0.011607981777432922,0.04166998031269263,0.011607981777432922,0.04166998031269263,0.6202838932530514,1.2706791907167125,1449,1449,2898,0.0001,0.899986
